DISTRICT,A_A_R
NICOBAR,233.7666667
SOUTH ANDAMAN,251.3083333
N & M ANDAMAN,242.775
LOHIT,253.65
EAST SIANG,336.225
SUBANSIRI F.D,108.3666667
TIRAP,297.625
ANJAW (LOHIT),253.65
LOWER DIBANG,212.775
CHANGLANG,295.325
PAPUM PARE,281.5166667
LOW SUBANSIRI,160.0916667
UPPER SIANG,366.8416667
WEST SIANG,203.3916667
DIBANG VALLEY,212.775
WEST KAMENG,283.2833333
EAST KAMENG,169.2416667
TAWANG(W KAME,283.2833333
KURUNG KUMEY,185.125
CACHAR,249.9333333
DARRANG,163.15
GOALPARA,214.6083333
KAMRUP,151.1166667
LAKHIMPUR,238.275
NORTH CACHAR,164.7916667
NAGAON,138.3416667
SIVASAGAR,150.9666667
BARPETA,272.8833333
DHUBRI,225.2166667
DIBRUGARH,213.05
JORHAT,173.5833333
KARIMGANJ,304.2333333
KOKRAJHAR,314.35
SHONITPUR,164.875
GOLAGHAT,140.0583333
TINSUKIA,207.1083333
HAILAKANDI,220.4666667
DHEMAJI(LAKHI,238.275
KARBI ANGLONG,111.75
UDALGURI(DARA,163.15
KAMRUP METROP,151.1166667
CHIRANG(BONGAI,268.225
BAKSA BARPETA,272.8833333
BONGAIGAON,268.225
MORIGAON,145.2916667
NALBARI,196.3833333
EAST KHASI HI,513.8416667
JAINTIA HILLS,531.6583333
EAST GARO HIL,212.8666667
RI-BHOI,176.4083333
SOUTH GARO HI,204.9833333
W KHASI HILL,303.5833333
WEST GARO HIL,204.9833333
IMPHAL EAST,153.2666667
SENAPATI,160.2166667
TAMENGLONG,602.4416667
CHANDEL,220.625
UKHRUL,129.0833333
THOUBAL,107.1916667
BISHNUPUR,177.2916667
IMPHAL WEST,127.575
CHURACHANDPUR,194.7833333
AIZAWL,234.5333333
CHAMPHAI,180.7166667
KOLASIB,221.6666667
LUNGLEI,227.5916667
CHHIMTUIPUI,234.5333333
LAWNGTLAI,213.1333333
MAMIT,234.5333333
SAIHA,206.7166667
SERCHHIP,208.8166667
KOHIMA,152.0666667
TUENSANG,173.3333333
MOKOKCHUNG,200.8166667
DIMAPUR,108.825
WOKHA,208.1416667
MON,111.6583333
ZUNHEBOTO,173.3333333
PHEK,152.0666667
KEPHRIE,173.3333333
LONGLENG,173.3333333
PEREN,152.0666667
NORTH TRIPURA,220.15
SOUTH TRIPURA,206.2833333
WEST TRIPURA,190.5583333
DHALAI,209.3833333
COOCH BEHAR,286.975
DARJEELING,259.875
JALPAIGURI,289.025
MALDA,118.2833333
SOUTH DINAJPUR,132.075
NORTH DINAJPUR,143.9666667
NORTH SIKKIM,257.875
EAST SIKKIM,215.1833333
WEST SIKKIM,257.875
SOUTH SIKKIM,215.1833333
BANKURA,110.9083333
BIRBHUM,116.0666667
BURDWAN,109.6
HOOGHLY,118.225
HOWRAH,133.3333333
PURULIA,113.6083333
MURSHIDABAD,115.925
NADIA,105.1333333
NORTH 24 PARG,129.9833333
SOUTH 24 PARG,174
EAST MIDNAPOR,139.1333333
WEST MIDNAPOR,127.9583333
KOLKATA,142.4333333
BALASORE,139.9166667
BOLANGIR,114.2333333
KANDHAMAL/PHU,120.6916667
CUTTACK,126.6416667
DHENKANAL,122.4166667
GANJAM,108.7083333
KALAHANDI,116.9166667
KEONDJHARGARH,119.725
KORAPUT,135.2083333
MAYURBHANJ,138.3916667
PURI,118.0166667
SAMBALPUR,127.7916667
SUNDARGARH,112.3166667
BHADRAK,125.6166667
JAJPUR,128.4416667
KENDRAPARA,128.3833333
ANGUL,113.5
NAWAPARA,99.78333333
MALKANGIRI,131.0583333
NAWARANGPUR,138.375
NAYAGARH,120.8416667
KHURDA,122.4583333
BARGARH,105.4083333
JHARSUGUDA,122.8583333
DEOGARH,127.7916667
RAYAGADA,110.575
GAJAPATI,121.8416667
JAGATSINGHAPU,130.4166667
BOUDHGARH,120.6916667
SONEPUR,116.2833333
BOKARO,103.9583333
DHANBAD,112.9333333
DUMKA,115.125
HAZARIBAG,99.66666667
PALAMU,91.325
RANCHI,116.9333333
SAHIBGANJ,129.475
WEST SINGHBHUM,108.8
DEOGHAR,96.84166667
GIRIDIH,104.3916667
GODDA,95.36666667
GUMLA,118.4416667
LOHARDAGA,99.75833333
CHATRA,97.65833333
KODERMA,93.01666667
PAKUR,134.3666667
EAST SINGHBHU,107.725
GARHWA,86.81666667
SERAIKELA-KHA,113.3
JAMTARA,123
LATEHAR,99.29166667
SIMDEGA,131.0916667
KHUNTI(RANCHI,123.5666667
RAMGARH,104.025
BHAGALPUR,100.6583333
EAST CHAMPARAN,99.80833333
DARBHANGA,93.63333333
GAYA,83.65833333
MUNGER,95.56666667
MUZAFFARPUR,96.20833333
WEST CHAMPARAN,122.6666667
PURNEA,133.1833333
GOPALGANJ,94.625
MADHUBANI,107.775
AURANGABAD,81.24166667
BEGUSARAI,90.89166667
BHOJPUR,87.625
NALANDA,83.51666667
PATNA,89.56666667
KATIHAR,111.8916667
KHAGARIA,102.825
SARAN,93.65
MADHEPURA,116.0583333
NAWADA,86.81666667
ROHTAS,79.09166667
SAMASTIPUR,99.35833333
SITAMARHI,107.7583333
SIWAN,94.61666667
VAISHALI,98.04166667
JAHANABAD,78.05
BUXAR,81.28333333
ARARIA,136.0166667
BANKA,87.875
BHABUA,93.85833333
JAMUI,92.275
KISHANGANJ,174.2166667
SHEIKHPURA,84.03333333
SUPAUL,106.15
LAKHISARAI,95.56666667
SHEOHAR,107.7583333
ARWAL,72.86666667
SAHARSA,141.075
ALLAHABAD,75.21666667
AZAMGARH,88.19166667
BAHRAICH,95.71666667
BALLIA,77.35
BANDA,78.6
BARABANKI,87.95
BASTI,88.55833333
DEORIA,90.58333333
FAIZABAD,92.83333333
FARRUKHABAD,71.10833333
FATEHPUR,76.26666667
GHAZIPUR,82.98333333
GONDA,96.675
GORAKHPUR,111.525
HARDOI,76.51666667
JAUNPUR,80.675
KANPUR NAGAR,67.2
KHERI LAKHIMP,90.44166667
LUCKNOW,73.775
MIRZAPUR,83.6
PRATAPGARH,78.63333333
RAE BARELI,71.08333333
SITAPUR,83.60833333
SULTANPUR,78.70833333
UNNAO,75.6
VARANASI,86.46666667
SONBHADRA,85.425
MAHARAJGANJ,115.7583333
MAU,93.44166667
SIDDHARTH NGR,95.475
KUSHINAGAR,110.55
AMBEDKAR NAGAR,84.44166667
KANNAUJ,75.19166667
BALRAMPUR,103.9916667
KAUSHAMBI,71.80833333
SAHUJI MAHARA,82.19166667
KANPUR DEHAT,71.43333333
CHANDAULI,79.13333333
SANT KABIR NGR,92.55
SANT RAVIDAS,79.13333333
SHRAVASTI NGR,95.71666667
AGRA,64.55
ALIGARH,64.25
BAREILLY,83.05
BIJNOR,90.25833333
BADAUN,73.73333333
BULANDSHAHAR,64.91666667
ETAH,59.53333333
ETAWAH,69.13333333
HAMIRPUR,73.48333333
JALAUN,72.625
JHANSI,77.625
LALITPUR,86.21666667
MAINPURI,62.36666667
MATHURA,54.65833333
MEERUT,76.5
MORADABAD,82.74166667
MUZAFFARNAGAR,72.425
PILIBHIT,96.28333333
RAMPUR,88.13333333
SAHARANPUR,80.325
SHAHJAHANPUR,84.23333333
GHAZIABAD,63.85833333
FIROZABAD,63.79166667
MAHOBA,71.09166667
MAHAMAYA NAGA,59.23333333
AURAIYA,67.65833333
BAGPAT,53.84166667
JYOTIBA PHULE,76.45
GAUTAM BUDDHA,55.775
KANSHIRAM NAG,68.2
ALMORA,96.44166667
CHAMOLI,105.5833333
DEHRADUN,176.9916667
GARHWAL PAURI,122
NAINITAL,145.3083333
PITHORAGARH,174.8333333
GARHWAL TEHRI,115.4166667
UTTARKASHI,135.475
HARIDWAR,95.325
CHAMPAWAT,135.325
RUDRAPRAYAG,179.2416667
UDHAM SINGH N,109.4916667
BAGESHWAR,96.44166667
AMBALA,92.05833333
GURGAON,45.33333333
HISAR,33.45
JIND,42.425
KARNAL,59.53333333
MAHENDRAGARH,39.68333333
ROHTAK,51.5
BHIWANI,34.95833333
FARIDABAD,58.13333333
KURUKSHETRA,57.61666667
SIRSA,26.125
SONEPAT(RTK),53.68333333
YAMUNANAGAR,92.25
KAITHAL,38.875
PANIPAT,52.00833333
REWARI,41.01666667
FATEHABAD,30.38333333
JHAJJAR,40.75
PANCHKULA,95.68333333
MEWAT,47.66666667
PALWAL(FRD),42.34166667
CHANDIGARH,89.21666667
NEW DELHI,62.25833333
CENTRAL DELHI,62.25833333
EAST DELHI,62.25833333
NORTH DELHI,62.25833333
NE DELHI,62.25833333
SW DELHI,62.25833333
NW DELHI,62.25833333
SOUTH DELHI,62.25833333
WEST DELHI,62.25833333
AMRITSAR,60.14166667
BATHINDA,33.99166667
FEROZEPUR,37.96666667
GURDASPUR,92.70833333
HOSHIARPUR,77.75833333
JALANDHAR,59.925
KAPURTHALA,47.33333333
LUDHIANA,57.13333333
PATIALA,62.66666667
RUPNAGAR,79.70833333
SANGRUR,46.45
FARIDKOT,34.63333333
MOGA,38.38333333
NAWANSHAHR,83.8
FATEHGARH SAH,56.925
MUKTSAR,33.29166667
MANSA,34.98333333
BARNALA,37.45
SAS NAGAR(MGA),68.225
TARN TARAN,37.43333333
BILASPUR,99.76666667
CHAMBA,166.425
KANGRA,168.3166667
KINNAUR,69.7
KULLU,90.675
LAHUL & SPITI,104.0666667
MANDI,125.575
HAMIRPUR,119.0166667
SHIMLA,86.78333333
SIRMAUR,134.8583333
SOLAN,113.85
UNA,92.55833333
ANANTNAG,80.8
BARAMULLA,94.33333333
DODA,111.2916667
JAMMU,100.9416667
KATHUA,105.6833333
LADAKH (LEH),7.883333333
UDHAMPUR,164.4916667
BADGAM,55.975
KUPWARA,94.39166667
PULWAMA,42.05
SRINAGAR,56.13333333
KARGIL,18.60833333
POONCH,122.8416667
RAJOURI,79.76666667
BANDIPORE,58.36666667
GANDERWAL,56.13333333
KULGAM/(ANT),73.24166667
SHOPAN,68.225
SAMBA,100.9416667
KISTWAR,111.2916667
REASI,149.7083333
RAMBAN(DDA),110.7
BARMER,22.38333333
BIKANER,22.83333333
CHURU,30.8
SRI GANGANAGA,21.075
JAISALMER,15.1
JALORE,35.59166667
JODHPUR,25.675
NAGAUR,32.84166667
PALI,40.475
HANUMANGARH,25.13333333
AJMER,38.51666667
ALWAR,52.575
BANSWARA,73.58333333
BHARATPUR,51.75833333
BHILWARA,52.51666667
BUNDI,58.8
CHITTORGARH,63.775
DUNGARPUR,56.48333333
JAIPUR,48.1
JHALAWAR,76.68333333
JHUNJHUNU,40.08333333
KOTA,67.325
SAWAI MADHOPUR,60.08333333
SIKAR,38.65
SIROHI,76.11666667
TONK,51.15833333
UDAIPUR,53.30833333
DHOLPUR,60.175
BARAN,71.05833333
DAUSA,56.23333333
RAJSAMAND,46.20833333
KARAULI,58.01666667
PRATAPGARH(CHT,76.275
BETUL,85.73333333
VIDISHA,90.4
BHIND,63.61666667
DATIA,71.68333333
DEWAS,85.95
DHAR,73.84166667
GUNA,85.69166667
GWALIOR,73.825
HOSHANGABAD,116.0166667
INDORE,76.44166667
JHABUA,67.73333333
MANDSAUR,70.84166667
MORENA,64.75
KHANDWA,78.33333333
KHARGONE,68.90833333
RAISEN,100.0416667
RAJGARH,80.55833333
RATLAM,78.98333333
SEHORE,96.05
SHAJAPUR,79.11666667
SHIVPURI,71.61666667
UJJAIN,75.475
BHOPAL,90.64166667
HARDA,94.025
NEEMUCH,67.81666667
SHEOPUR,65.99166667
BARWANI,58.43333333
ASHOKNAGAR(GNA,77.225
BURHANPUR,74.09166667
ALIRAJPUR(JBA),71.96666667
BALAGHAT,123.4666667
CHHATARPUR,90.11666667
CHHINDWARA,85.13333333
JABALPUR,99.36666667
MANDLA,116.4166667
NARSINGHPUR,95.53333333
PANNA,97.64166667
REWA,89.04166667
SAGAR,99.35
SATNA,88.00833333
SEONI,99.31666667
SHAHDOL,92.49166667
SIDHI,93.91666667
TIKAMGARH,78.20833333
KATNI,95.09166667
DINDORI,111.3916667
UMARIA,102.975
DAMOH,98.38333333
ANUPPUR(SHAHD,112.875
SINGRAULI,76.76666667
AHMEDABAD,53.325
BANASKANTHA,49.86666667
BARODA,82.68333333
BHARUCH,68.74166667
VALSAD,168.475
DANGS,171.9166667
KHEDA,70.84166667
MEHSANA,57.725
PANCHMAHALS,79.94166667
SABARKANTHA,68.025
SURAT,108.725
GANDHINAGAR,62.725
NARMADA(BRC),95.30833333
NAVSARI(VSD),155.5333333
ANAND(KHR),69.55
PATAN(MHSN),44.96666667
DAHOD(PNML),75.3
TAPI(SRT),128
AMRELI,47.275
BHAVNAGAR,48.19166667
JAMNAGAR,41.5
JUNAGADH,69.2
KUTCH,32.4
RAJKOT,48.25833333
SURENDRANAGAR,44.55
PORBANDAR,59.71666667
DNH,197.8416667
DAMAN,197.8416667
DIU,58.10833333
MUMBAI CITY,188.125
RAIGAD,273.2416667
RATNAGIRI,289.2166667
THANE,211.8416667
SINDHUDURG,272.4333333
MUMBAI SUB,188.125
NORTH GOA,289.2833333
SOUTH GOA,257.1333333
AHMEDNAGAR,47.76666667
DHULE,50.6
JALGAON,60.90833333
KOLHAPUR,166.0666667
NASHIK,85.8
PUNE,84.64166667
SANGLI,60.88333333
SATARA,76.04166667
SOLAPUR,53.875
NANDURBAR,74.225
AURANGABAD,59.68333333
BEED,59.03333333
NANDED,80.09166667
OSMANABAD,64.94166667
PARBHANI,74.75
LATUR,75.83333333
JALNA,60.80833333
HINGOLI,81.61666667
AKOLA,67.95
AMRAVATI,74.78333333
BHANDARA,107.725
BULDHANA,62.24166667
CHANDRAPUR,106
NAGPUR,89.03333333
YAVATMAL,81.9
WARDHA,85.58333333
GADCHIROLI,120.8166667
WASHIM,78.40833333
GONDIA,114.225
BASTAR,113.55
BILASPUR,102.4166667
DURG,93.575
RAIGARH,105.825
RAIPUR,97.05
SURGUJA,110.9916667
RAJNANDGAON,100.775
DANTEWADA,110.6583333
KANKER (NORH,116.2666667
JANJGIR-CHAMP,109.65
KORBA,115.4583333
JASHPUR,128.7
DHAMTARI,97.38333333
MAHASAMUND,95.10833333
KORIYA,101.95
KOWARDHA (KAB,85.775
NARAYANPUR,117.0416667
BIJAPUR,127.35
EAST GODAVARI,92.16666667
WEST GODAVARI,96.7
GUNTUR,72.625
KRISHNA,85.59166667
NELLORE,90.96666667
PRAKASAM,67.15833333
SRIKAKULAM,97.1
VISAKHAPATNAM,93.39166667
VIZIANAGARAM,95.03333333
ADILABAD,93.33333333
HYDERABAD,70.94166667
KARIMNAGAR,81.65
KHAMMAM,91.24166667
MAHABUBNAGAR,60.925
MEDAK,76.85833333
NALGONDA,63.375
NIZAMABAD,90.99166667
WARANGAL,82.24166667
RANGAREDDY,70.15
ANANTAPUR,47.725
CHITTOOR,74.85
KUDDAPAH,59.74166667
KURNOOL,56.63333333
VELLORE,78.01666667
COIMBATORE,57.44166667
DHARMAPURI,75.175
KANYAKUMARI,108.5416667
CHENNAI,110.35
MADURAI,77.325
NILGIRIS,126.8916667
RAMANATHAPURA,67.31666667
SALEM,83.15833333
THANJAVUR,84.425
TIRUCHIRAPPAL,68.16666667
TIRUNELVELI,70.425
ERODE,58.575
PUDUKKOTTAI,73.95
DINDIGUL,77.55833333
VIRUDHUNAGAR,68.34166667
SIVAGANGA,72.73333333
THOOTHUKUDI,54.69166667
TIRUVANNAMALA,86.66666667
NAGAPATTINAM,116.1083333
VILUPPURAM,84.3
CUDDALORE,100.5583333
KANCHIPURAM,102.3083333
TIRUVALLUR,94.96666667
THENI,60
NAMAKKAL,66.11666667
KARUR,54.58333333
PERAMBALUR,71.825
TIRUVARUR,97.775
KRISHNAGIRI,70.89166667
ARIYALUR,89.31666667
TIRUPUR,51.51666667
PONDICHERRY,111.375
KARAIKAL,125.3666667
MAHE,111.375
YANAM,111.375
UTTAR KANNADA,255.875
DAKSHIN KANDA,326.3166667
UDUPI,358.8333333
BELGAM,69.93333333
BIDAR,74.225
BIJAPUR,54.7
DHARWAD,65.975
GULBARGA,68.38333333
YADGIR,69.54166667
RAICHUR,55.425
BAGALKOTE,49.75
GADAG,53.43333333
HAVERI,65.99166667
KOPPAL,49.85833333
BANGALORE RUR,69.75
BELLARY,51.9
CHIKMAGALUR,173.125
CHITRADURGA,43.975
KODAGU,228.45
HASSAN,80.59166667
KOLAR,60.925
MANDYA,55.225
MYSORE,63.21666667
SHIMOGA,152.325
TUMKUR,58.20833333
BANGALORE URB,72.5
CHAMARAJANAGA,65.7
DAVANGERE,56.39166667
RAMNAGAR(BNGR),73.64166667
CHICKBALLAPUR,62.375
ALAPPUZHA,236.7666667
CANNUR,276.5916667
ERNAKULAM,252.4916667
KOTTAYAM,244.2083333
KOZHIKODE,282.0083333
MALAPPURAM,236.2583333
PALAKKAD,190.8333333
KOLLAM,207.6416667
THRISSUR,255.2583333
THIRUVANANTHA,150.2666667
IDUKKI,275.2083333
KASARGOD,301.8
PATHANAMTHITTA,246.5333333
WAYANAD,271.0916667
LAKSHADWEEP,133.3333333
